Date,Open,High,Low,Close,Adj Close,Volume
2007-01-01,24.930000,28.150000,24.500000,25.900000,25.059317,6317900
2007-02-01,25.959999,27.660000,25.540001,27.000000,26.123611,5399700
2007-03-01,26.740000,26.780001,24.900000,25.190001,24.372362,3533400
2007-04-01,24.879999,26.100000,24.530001,24.850000,24.043398,4664600
2007-05-01,24.940001,26.500000,24.600000,26.350000,25.494711,6991200
2007-06-01,26.260000,28.350000,25.959999,26.400000,25.543085,7721400
2007-07-01,26.809999,27.680000,25.580000,26.209999,25.359253,5969100
2007-08-01,26.129999,27.260000,24.580000,26.639999,25.775295,4409800
2007-09-01,26.969999,31.160000,26.510000,29.500000,28.542463,7204500
2007-10-01,29.639999,29.809999,27.610001,29.270000,28.319929,8763900
2007-11-01,29.750000,31.090000,28.870001,30.650000,29.655134,7712100
2007-12-01,30.860001,33.540001,30.650000,32.990002,31.919186,12713700
2008-01-01,33.139999,37.570000,33.040001,36.990002,36.296440,49634900
2008-02-01,37.279999,43.500000,37.009998,41.560001,40.780750,54715400
2008-03-01,42.700001,43.009998,35.830002,36.450001,35.766563,87985200
2008-04-01,35.790001,39.820000,35.380001,36.599998,35.913750,49614800
2008-05-01,36.410000,37.790001,34.830002,35.349998,34.687187,37935900
2008-06-01,35.939999,42.650002,35.349998,40.680000,39.917252,44944100
2008-07-01,40.840000,42.160000,34.599998,36.490002,35.805813,42470100
2008-08-01,36.540001,38.160000,32.880001,35.369999,34.706810,30992400
2008-09-01,34.000000,34.720001,30.150000,30.209999,29.643560,32880700
2008-10-01,30.129999,30.549999,23.160000,25.700001,25.218126,36727800
2008-11-01,25.969999,27.389999,23.230000,24.680000,24.217251,27464800
2008-12-01,24.530001,26.200001,21.520000,26.180000,25.689125,29053400
2009-01-01,26.250000,27.209999,24.170000,24.940001,24.940001,22814200
2009-02-01,24.799999,25.690001,23.000000,23.620001,23.620001,26657000
2009-03-01,23.250000,25.490000,22.370001,24.490000,24.490000,41924200
2009-04-01,24.379999,25.360001,23.559999,25.290001,25.290001,31887800
2009-05-01,25.480000,28.020000,25.270000,27.889999,27.889999,51562400
2009-06-01,28.410000,28.870001,24.629999,25.450001,25.450001,67570600
2009-07-01,25.549999,25.719999,23.600000,25.370001,25.370001,55939300
2009-08-01,25.959999,26.680000,24.879999,26.090000,26.090000,44777900
2009-09-01,25.809999,26.080000,24.070000,25.459999,25.459999,41844000
2009-10-01,25.459999,27.200001,24.350000,25.570000,25.570000,58822700
